Cust_id,age,job,marital,education,default,balance,housing,loan
ABC14727,29,student,single,tertiary,no,5,no,no
ABC36249,34,services,single,secondary,no,0,yes,no
ABC3625,31,blue-collar,single,secondary,no,33,yes,no
ABC36259,37,services,single,secondary,no,20,yes,no
ABC14731,39,management,married,tertiary,no,285,yes,no
ABC36260,32,services,single,secondary,no,-23,no,no
ABC36261,38,entrepreneur,single,primary,no,154,yes,no
ABC36266,52,blue-collar,single,secondary,no,201,yes,no
ABC3627,31,management,single,tertiary,no,635,yes,no
ABC36271,37,services,single,secondary,no,-17,yes,no
ABC3629,35,blue-collar,single,tertiary,no,1455,yes,no
ABC36293,43,services,single,secondary,no,426,yes,no
ABC36297,32,self-employed,single,secondary,no,-616,yes,no
ABC36300,58,management,single,tertiary,no,2,yes,no
ABC36306,36,blue-collar,single,secondary,no,151,yes,no
ABC36309,35,blue-collar,single,secondary,no,0,yes,no
ABC3631,31,blue-collar,single,tertiary,no,56,no,no
ABC36310,32,blue-collar,single,secondary,no,-84,yes,no
ABC14745,35,blue-collar,single,secondary,no,885,yes,no
ABC36311,32,services,single,secondary,no,101,yes,no
ABC36313,42,services,single,secondary,no,1453,yes,no
ABC36316,52,services,single,secondary,no,0,yes,no
ABC36322,46,services,single,unknown,no,306,yes,no
ABC36332,34,blue-collar,single,secondary,no,213,yes,no
ABC36350,38,blue-collar,single,secondary,no,328,yes,no
ABC36353,34,services,single,secondary,no,395,yes,no
ABC36359,29,blue-collar,single,secondary,no,558,yes,no
ABC36369,33,management,single,tertiary,no,48,yes,no
ABC3637,39,blue-collar,single,primary,no,-21,no,no
ABC36374,33,services,single,secondary,no,-530,yes,yes
ABC36385,36,unemployed,single,secondary,no,1806,yes,no
ABC36386,35,services,single,secondary,no,313,yes,no
ABC36390,36,blue-collar,single,secondary,no,1089,yes,no
ABC36403,31,blue-collar,single,secondary,no,1598,yes,no
ABC36406,36,blue-collar,single,secondary,no,219,yes,yes
ABC36408,34,blue-collar,single,secondary,no,174,no,no
ABC36413,33,blue-collar,single,secondary,no,3499,yes,no
ABC36414,48,services,single,secondary,yes,-470,yes,no
ABC36417,30,services,single,tertiary,no,0,yes,no
ABC36421,49,management,single,secondary,no,-18,yes,no
ABC36425,32,blue-collar,single,secondary,no,271,yes,yes
ABC36428,37,blue-collar,single,tertiary,no,555,yes,no
ABC36430,44,blue-collar,single,secondary,no,184,yes,no
ABC36431,44,services,single,secondary,no,-497,yes,no
ABC36436,29,blue-collar,single,tertiary,no,18254,no,no
ABC36448,29,blue-collar,single,secondary,no,309,yes,no
ABC36451,31,blue-collar,single,secondary,no,2377,yes,no
ABC36455,36,services,single,secondary,no,2409,yes,yes
ABC36459,47,services,single,secondary,no,3957,yes,no
ABC36464,48,blue-collar,single,tertiary,no,-551,yes,no
ABC36467,32,management,single,tertiary,no,473,yes,no
ABC36469,38,blue-collar,single,primary,no,0,yes,no
ABC36475,35,services,single,secondary,no,847,yes,no
ABC36478,37,blue-collar,single,primary,no,1388,yes,no
ABC3648,51,self-employed,single,secondary,no,1640,yes,no
ABC36481,31,unemployed,single,secondary,no,-15,yes,no
ABC36483,29,management,single,tertiary,no,0,yes,no
ABC36487,36,blue-collar,single,primary,no,109,yes,no
ABC36498,30,services,single,secondary,no,297,yes,no
ABC14785,34,blue-collar,single,secondary,no,855,yes,no
ABC3650,41,management,single,tertiary,no,480,yes,no
ABC36500,43,services,single,secondary,no,277,yes,no
ABC36504,33,services,single,secondary,no,310,yes,no
ABC36512,41,retired,single,secondary,no,1734,yes,no
ABC36532,41,management,single,secondary,no,-277,yes,no
ABC36541,37,management,single,tertiary,no,1148,yes,no
ABC36543,55,blue-collar,single,secondary,no,99,yes,no
ABC36547,60,services,single,secondary,no,860,yes,no
ABC36548,48,services,single,secondary,no,561,yes,no
ABC3655,43,management,single,secondary,no,-228,yes,yes
ABC36572,37,blue-collar,single,tertiary,no,-487,yes,no
ABC36575,36,blue-collar,single,secondary,no,168,yes,no
ABC36581,30,management,single,tertiary,no,112,yes,yes
ABC14798,29,blue-collar,single,unknown,no,694,yes,yes
ABC36582,53,services,single,secondary,no,545,yes,no
ABC36595,34,blue-collar,single,secondary,no,1599,yes,no
ABC36608,36,management,single,tertiary,no,687,yes,no
ABC36609,44,blue-collar,single,secondary,no,25,yes,no
ABC36612,41,services,single,secondary,no,224,yes,no
ABC36613,31,blue-collar,single,secondary,no,17,yes,no
ABC36614,41,blue-collar,single,secondary,no,428,yes,no
ABC36616,48,services,single,primary,no,1499,yes,no
ABC36619,29,entrepreneur,single,tertiary,no,135,yes,no
ABC3662,31,services,single,secondary,no,0,yes,no
ABC36621,33,blue-collar,single,secondary,no,1794,yes,no
ABC36622,33,blue-collar,single,secondary,no,38,yes,no
ABC36627,41,blue-collar,single,secondary,no,169,yes,no
ABC3663,41,blue-collar,single,secondary,no,2919,yes,no
ABC36634,31,services,single,secondary,no,1801,yes,no
ABC36636,30,blue-collar,single,primary,no,1803,yes,no
ABC36639,35,blue-collar,single,secondary,no,449,yes,no
ABC36646,30,management,single,tertiary,no,29,yes,no
ABC36647,43,blue-collar,single,secondary,no,24,no,no
ABC36662,32,blue-collar,single,secondary,no,-1,yes,no
ABC36681,42,blue-collar,single,tertiary,no,-411,yes,no
ABC36687,30,services,single,secondary,no,194,yes,no
ABC3669,40,blue-collar,single,secondary,no,1101,yes,no
ABC36707,31,services,single,secondary,no,-475,yes,no
ABC14823,36,management,married,tertiary,no,673,yes,no
ABC36711,31,blue-collar,single,secondary,no,4978,yes,no
ABC36714,41,blue-collar,single,secondary,no,1564,yes,no
ABC36720,38,blue-collar,single,secondary,no,0,yes,no
ABC36723,33,blue-collar,single,tertiary,no,196,yes,no
ABC36725,38,services,single,secondary,no,883,yes,no
ABC36737,39,management,single,tertiary,no,202,yes,no
ABC14830,44,blue-collar,married,primary,no,1265,yes,no
ABC3674,31,self-employed,single,secondary,no,1301,yes,no
ABC14833,39,blue-collar,married,tertiary,no,597,no,no
ABC36740,44,services,single,secondary,no,492,yes,no
ABC36741,32,blue-collar,single,secondary,no,235,yes,no
ABC36743,36,entrepreneur,single,primary,no,5,no,no
ABC36746,39,blue-collar,single,secondary,no,175,no,no
ABC36751,39,management,single,tertiary,no,0,yes,no
ABC36756,41,management,single,secondary,no,5548,yes,no
ABC36761,40,services,single,secondary,no,1547,yes,no
ABC36765,30,services,single,secondary,no,419,yes,no
ABC14842,30,blue-collar,married,secondary,no,-393,yes,yes
ABC36769,39,services,single,secondary,no,102,yes,no
ABC36773,36,retired,single,tertiary,no,1514,yes,no
ABC36776,35,services,single,secondary,no,10,no,yes
ABC36784,42,services,single,secondary,no,470,yes,no
ABC14849,36,blue-collar,married,secondary,no,324,yes,yes
ABC36787,29,services,single,unknown,no,-70,yes,yes
ABC36788,35,blue-collar,single,secondary,no,68,yes,no
ABC36789,30,blue-collar,single,secondary,no,0,yes,no
ABC36795,32,services,single,secondary,no,641,yes,no
ABC14854,31,unemployed,divorced,tertiary,no,256,yes,no
ABC36797,31,blue-collar,single,secondary,no,1,yes,no
ABC36799,41,blue-collar,single,unknown,no,3652,yes,no
ABC3680,35,management,single,tertiary,no,205,yes,no
ABC36807,30,blue-collar,single,secondary,no,249,no,no
ABC36819,37,blue-collar,single,tertiary,no,1894,yes,no
ABC36821,48,blue-collar,single,secondary,no,574,no,no
ABC36822,33,management,single,tertiary,no,1150,yes,no
ABC36827,36,blue-collar,single,secondary,no,75,yes,no
ABC3683,30,self-employed,single,tertiary,no,901,yes,yes
ABC36834,29,student,single,secondary,no,3872,yes,no
ABC36847,50,services,single,secondary,no,5816,yes,no
ABC36851,33,services,single,secondary,no,-15,no,no
ABC36853,40,management,single,tertiary,no,-50,yes,no
ABC36867,32,student,single,tertiary,no,61,yes,no
ABC36868,32,blue-collar,single,secondary,no,0,yes,no
ABC36877,44,blue-collar,single,secondary,no,285,yes,no
ABC14872,56,blue-collar,married,primary,no,0,yes,no
ABC36887,52,retired,single,secondary,no,316,no,no
ABC36897,31,student,single,secondary,no,241,yes,no
ABC36901,51,services,single,primary,no,2499,yes,no
ABC36902,36,self-employed,single,secondary,no,74,yes,yes
ABC36903,38,blue-collar,single,primary,no,947,yes,no
ABC36910,31,management,single,tertiary,no,2592,no,no
ABC36917,44,blue-collar,single,secondary,no,492,no,yes
ABC3692,53,management,single,secondary,no,5558,yes,no
ABC36926,36,services,single,secondary,no,590,yes,no
ABC14883,29,blue-collar,married,secondary,no,2870,yes,no
ABC3693,29,services,single,secondary,no,-507,yes,no
ABC36933,44,services,single,secondary,no,469,yes,yes
ABC3694,29,blue-collar,single,tertiary,no,47,yes,no
ABC36944,33,services,single,secondary,no,422,yes,no
ABC36945,39,blue-collar,single,secondary,no,631,yes,no
ABC36950,37,blue-collar,single,tertiary,no,1436,yes,no
ABC36951,38,blue-collar,single,primary,no,12130,yes,no
ABC36952,31,blue-collar,single,secondary,no,616,yes,no
ABC36958,58,blue-collar,single,primary,no,26,yes,no
ABC36961,43,management,single,tertiary,no,359,yes,no
ABC36965,32,management,single,tertiary,no,933,yes,no
ABC36982,42,blue-collar,single,unknown,no,2835,yes,no
ABC36984,46,entrepreneur,single,tertiary,no,1410,yes,no
ABC3699,33,services,single,secondary,no,0,yes,no
ABC36993,30,management,single,secondary,no,222,yes,no
ABC36997,29,student,single,secondary,no,154,yes,no
ABC36999,38,blue-collar,single,tertiary,no,876,yes,no
ABC37000,31,services,single,tertiary,no,253,yes,no
ABC14903,43,blue-collar,married,secondary,no,184,no,yes
ABC37001,30,blue-collar,single,secondary,no,1352,yes,no
ABC37002,47,blue-collar,single,primary,no,10558,yes,no
ABC14906,32,blue-collar,married,secondary,no,1905,yes,no
ABC37004,41,services,single,secondary,no,334,yes,no
ABC3701,31,blue-collar,single,secondary,no,0,yes,yes
ABC37011,34,management,single,tertiary,no,7263,yes,no
ABC37017,40,management,single,tertiary,no,406,yes,no
ABC37028,40,blue-collar,single,secondary,no,82,yes,no
ABC37029,32,management,single,tertiary,no,7444,yes,yes
ABC37033,51,services,single,secondary,no,516,yes,no
ABC37035,30,blue-collar,single,secondary,no,115,no,no
ABC37038,32,services,single,secondary,no,481,yes,no
ABC37040,38,blue-collar,single,secondary,no,864,yes,no
ABC37041,34,services,single,primary,no,286,yes,no
ABC37045,38,blue-collar,single,secondary,no,61,yes,no
ABC37049,31,blue-collar,single,secondary,no,397,yes,no
ABC37050,38,blue-collar,single,secondary,no,8637,yes,no
ABC37054,49,entrepreneur,single,secondary,no,259,no,no
ABC37055,49,blue-collar,single,secondary,no,725,yes,no
ABC3706,43,services,single,secondary,no,2539,yes,no
ABC37068,36,blue-collar,single,secondary,no,2151,yes,no
ABC37072,38,services,single,primary,no,-87,yes,no
ABC37073,30,services,single,secondary,no,248,yes,no
ABC37082,46,blue-collar,single,secondary,no,521,yes,no
ABC14929,50,management,married,secondary,no,1165,no,no
ABC37083,42,services,single,secondary,no,664,yes,no
ABC37087,41,blue-collar,single,secondary,no,925,yes,no
ABC37088,29,self-employed,single,secondary,no,970,yes,no
ABC37092,38,management,single,tertiary,no,15030,yes,no
ABC14933,40,blue-collar,married,secondary,no,-839,yes,yes
ABC37095,37,services,single,secondary,no,-111,yes,no
ABC37098,31,self-employed,single,tertiary,no,1536,yes,no
ABC37104,39,blue-collar,single,secondary,no,0,yes,no
ABC37117,31,services,single,secondary,no,6737,yes,no
ABC37122,57,services,single,secondary,no,1615,yes,no
ABC14939,42,services,married,secondary,no,3465,yes,yes
ABC37131,38,services,single,primary,no,3715,yes,no
ABC37135,33,blue-collar,single,tertiary,no,2565,yes,no
ABC37138,41,blue-collar,single,primary,no,340,yes,no
ABC37146,32,blue-collar,single,secondary,no,2137,no,no
ABC37151,48,services,single,primary,no,-139,no,no
ABC37154,32,blue-collar,single,primary,no,7,yes,no
ABC37156,53,services,single,secondary,no,233,yes,no
ABC37157,35,management,single,tertiary,no,2749,no,no
ABC37161,34,blue-collar,single,secondary,no,2764,yes,no
ABC37167,37,management,single,tertiary,no,584,yes,no
ABC37169,35,blue-collar,single,unknown,no,88,no,no
ABC37172,32,blue-collar,single,secondary,no,681,no,yes
ABC37175,34,blue-collar,single,secondary,no,2131,yes,no
ABC37176,29,management,single,tertiary,no,172,yes,no
ABC37181,38,services,single,secondary,no,18,no,no
ABC37194,29,management,single,tertiary,no,0,yes,no
ABC37198,42,blue-collar,single,secondary,no,382,yes,no
ABC14955,40,blue-collar,married,secondary,no,-357,yes,no
ABC37199,29,blue-collar,single,primary,no,215,yes,no
ABC3720,36,services,single,secondary,no,0,yes,yes
ABC37206,36,management,single,tertiary,no,1129,yes,no
ABC37214,31,services,single,secondary,no,387,yes,no
ABC37215,32,services,single,secondary,no,396,yes,no
ABC14962,35,management,married,tertiary,no,36,no,yes
ABC37217,34,blue-collar,single,secondary,no,-231,yes,no
ABC37223,32,management,single,secondary,no,-119,yes,no
ABC37230,32,blue-collar,single,secondary,no,322,yes,no
ABC37232,54,blue-collar,single,primary,no,-119,yes,no
ABC37242,58,retired,single,tertiary,no,1411,yes,no
ABC37253,38,blue-collar,single,secondary,no,1137,no,no
ABC37258,42,services,single,secondary,no,4253,yes,no
ABC37265,37,management,single,tertiary,no,1339,yes,no
ABC37272,35,services,single,secondary,no,143,yes,yes
ABC37277,35,services,single,secondary,no,-639,yes,yes
ABC37278,35,blue-collar,single,secondary,no,450,yes,no
ABC37280,35,unemployed,single,secondary,no,2116,yes,no
ABC37282,36,blue-collar,single,secondary,yes,-1157,yes,no
ABC37283,32,management,single,secondary,no,416,yes,no
ABC37285,38,blue-collar,single,secondary,no,3344,yes,no
ABC3729,32,management,single,tertiary,no,0,no,no
ABC37295,34,self-employed,single,tertiary,no,1798,yes,no
ABC37299,37,blue-collar,single,secondary,no,267,no,no
ABC37319,32,management,single,tertiary,no,593,yes,no
ABC3732,31,unemployed,single,secondary,no,199,yes,no
ABC37330,29,blue-collar,single,secondary,no,0,yes,yes
ABC37333,37,management,single,tertiary,no,0,yes,no
ABC37335,36,blue-collar,single,primary,no,1959,yes,no
ABC37336,36,management,single,tertiary,no,1,yes,no
ABC37340,35,blue-collar,single,secondary,no,546,yes,no
ABC37347,44,management,single,secondary,no,-228,yes,yes
ABC37352,36,management,single,secondary,no,1331,yes,no
ABC37353,40,blue-collar,single,primary,no,147,yes,no
ABC37354,30,services,single,secondary,no,186,yes,no
ABC37355,32,blue-collar,single,primary,no,180,yes,no
ABC37357,37,management,single,tertiary,no,2576,yes,no
ABC37360,35,self-employed,single,tertiary,no,670,no,yes
ABC37363,30,management,single,tertiary,no,365,yes,no
ABC37364,33,blue-collar,single,secondary,no,185,yes,no
ABC3737,30,services,single,secondary,no,484,yes,no
ABC37373,35,services,single,tertiary,no,153,yes,no
ABC37375,41,management,single,tertiary,no,3371,yes,yes
ABC37377,36,management,single,tertiary,no,181,yes,no
ABC37384,34,blue-collar,single,secondary,no,283,yes,no
ABC37387,33,entrepreneur,single,tertiary,no,1481,yes,no
ABC37394,34,management,single,tertiary,no,29,yes,no
ABC37397,37,services,single,tertiary,no,72,yes,no
ABC37400,36,services,single,secondary,no,328,yes,no
ABC37404,31,blue-collar,single,secondary,no,2194,no,no
ABC37418,37,management,single,secondary,no,1572,no,no
ABC37420,44,blue-collar,single,secondary,no,33,yes,no
ABC37422,57,services,single,primary,no,3777,yes,no
ABC37427,42,services,single,tertiary,no,94,yes,no
ABC37434,39,management,single,tertiary,no,93,yes,yes
ABC37435,35,blue-collar,single,secondary,no,8040,yes,no
ABC37440,29,blue-collar,single,secondary,no,1550,yes,yes
ABC37444,35,services,single,secondary,no,0,yes,no
ABC37446,43,services,single,secondary,no,550,yes,no
ABC37448,31,services,single,secondary,no,507,yes,no
ABC37455,42,services,single,secondary,no,-193,yes,no
ABC37459,31,services,single,secondary,no,222,yes,no
ABC37465,32,blue-collar,single,secondary,no,271,yes,no
ABC37472,35,unemployed,single,secondary,no,9,yes,no
ABC37478,34,blue-collar,single,secondary,no,39,no,no
ABC3748,37,management,single,tertiary,no,499,yes,no
ABC37482,38,blue-collar,single,tertiary,no,69,yes,no
ABC37486,30,blue-collar,single,primary,no,17,yes,no
ABC37487,35,self-employed,single,secondary,no,-122,yes,yes
ABC37493,49,services,single,primary,no,655,yes,no
ABC37506,30,blue-collar,single,tertiary,no,106,yes,no
ABC3751,38,blue-collar,single,unknown,no,1146,yes,no
ABC37517,31,services,single,secondary,no,1510,yes,no
ABC37522,35,blue-collar,single,unknown,no,597,yes,no
ABC37523,38,unemployed,single,secondary,no,1354,yes,no
ABC37525,29,blue-collar,single,primary,no,1768,yes,no
ABC37527,33,blue-collar,single,secondary,no,181,yes,no
ABC37529,39,management,single,tertiary,no,30,yes,no
ABC37532,47,services,single,secondary,no,897,yes,no
ABC37534,30,management,single,tertiary,no,2,yes,yes
ABC37539,32,services,single,secondary,no,385,yes,no
ABC37543,29,services,single,secondary,no,65,yes,no
ABC37552,35,blue-collar,single,primary,no,1284,yes,no
ABC37554,40,blue-collar,single,primary,no,2226,yes,no
ABC37555,34,services,single,secondary,no,183,yes,no
ABC3756,43,services,single,secondary,no,6,no,no
ABC37561,30,blue-collar,single,secondary,no,348,yes,no
ABC37566,45,blue-collar,single,secondary,yes,0,yes,no
ABC3757,29,services,single,secondary,no,-142,yes,no
ABC15042,35,self-employed,married,primary,no,113,yes,no
ABC37576,33,management,single,secondary,no,1615,yes,no
ABC37578,43,blue-collar,single,secondary,no,276,yes,no
ABC37582,32,management,single,tertiary,no,469,yes,no
ABC37587,33,services,single,secondary,no,223,yes,yes
ABC37588,54,services,single,secondary,no,3344,yes,no
ABC37592,33,management,single,tertiary,no,283,yes,no
ABC37595,33,services,single,secondary,no,100,yes,no
ABC37599,37,blue-collar,single,secondary,no,2139,yes,no
ABC15051,52,blue-collar,married,secondary,no,1405,no,yes
ABC376,49,blue-collar,single,secondary,no,143,yes,no
ABC37602,33,blue-collar,single,secondary,no,1733,yes,no
ABC37606,31,blue-collar,single,secondary,no,982,yes,no
ABC37607,32,services,single,secondary,no,159,yes,yes
ABC37608,32,blue-collar,single,tertiary,no,13711,yes,no
ABC37610,39,blue-collar,single,secondary,no,523,yes,no
ABC37613,32,services,single,secondary,no,-133,yes,no
ABC37615,32,services,single,unknown,no,6145,yes,no
ABC37620,31,services,single,secondary,no,1270,yes,no
ABC37622,29,services,single,secondary,no,25,yes,no
ABC37627,31,blue-collar,single,tertiary,no,328,yes,no
ABC37629,37,management,single,tertiary,no,833,yes,no
ABC37638,30,student,single,tertiary,no,31,yes,no
ABC37647,38,blue-collar,single,tertiary,no,744,yes,no
ABC3765,34,blue-collar,single,secondary,no,0,yes,yes
ABC37655,33,management,single,tertiary,no,5145,yes,no
ABC37659,43,blue-collar,single,secondary,no,592,yes,no
ABC37660,38,management,single,tertiary,no,-119,yes,no
ABC37662,36,management,single,tertiary,no,85,no,no
ABC37667,29,blue-collar,single,secondary,no,500,yes,no
ABC37673,44,services,single,secondary,no,275,yes,no
ABC37675,49,blue-collar,single,primary,no,87,yes,no
ABC3768,40,services,single,secondary,no,739,yes,no
ABC37681,37,services,single,secondary,no,9,yes,no
ABC37687,35,management,single,tertiary,no,-146,yes,no
ABC37690,35,services,single,secondary,no,35,yes,no
ABC37694,39,management,single,tertiary,no,3202,yes,no
ABC37698,29,blue-collar,single,unknown,no,913,yes,no
ABC37699,38,blue-collar,single,secondary,no,1211,yes,no
ABC377,38,services,single,secondary,no,393,no,no
ABC37703,40,services,single,primary,no,846,yes,no
ABC37709,31,blue-collar,single,secondary,no,183,yes,no
ABC37713,29,management,single,tertiary,no,21,yes,no
ABC37716,39,blue-collar,single,secondary,no,-237,yes,no
ABC37717,42,blue-collar,single,primary,no,22,yes,no
ABC37732,30,services,single,secondary,no,43,yes,no
ABC37745,41,blue-collar,single,secondary,no,1880,no,yes
ABC37746,33,blue-collar,single,secondary,no,142,yes,no
ABC37747,43,blue-collar,single,secondary,no,214,yes,no
ABC37750,34,blue-collar,single,secondary,no,1351,yes,no
ABC15093,32,blue-collar,single,secondary,no,118,yes,no
ABC37760,31,blue-collar,single,secondary,no,7567,no,no
ABC15095,39,blue-collar,married,secondary,no,251,yes,no
ABC37761,51,blue-collar,single,secondary,no,708,yes,no
ABC37762,46,self-employed,single,secondary,no,198,yes,no
ABC37770,38,services,single,primary,no,393,yes,no
ABC37772,33,blue-collar,single,secondary,no,716,yes,no
ABC37774,36,blue-collar,single,secondary,no,-206,yes,no
ABC37775,30,blue-collar,single,secondary,no,-177,yes,no
ABC37776,53,services,single,secondary,no,4778,yes,no
ABC37785,31,blue-collar,single,primary,no,538,yes,no
ABC37786,43,blue-collar,single,tertiary,no,275,yes,no
ABC37791,42,blue-collar,single,primary,no,177,yes,no
ABC37798,33,blue-collar,single,primary,no,60,yes,no
ABC37799,33,management,single,tertiary,no,-149,yes,no
ABC37803,33,blue-collar,single,secondary,no,287,yes,no
ABC15109,31,blue-collar,divorced,secondary,no,-277,yes,no
ABC37804,31,blue-collar,single,secondary,no,23,yes,no
ABC37806,39,services,single,secondary,no,1048,yes,no
ABC37808,34,self-employed,single,tertiary,no,1272,yes,no
ABC37814,33,services,single,secondary,no,-448,yes,no
ABC37823,42,self-employed,single,primary,no,1179,yes,no
ABC37824,39,blue-collar,single,secondary,no,0,yes,no
ABC37826,33,self-employed,single,secondary,no,96,yes,no
ABC37838,34,management,single,tertiary,no,28,yes,no
ABC3784,36,blue-collar,single,tertiary,no,705,yes,no
ABC37848,36,blue-collar,single,tertiary,no,0,yes,no
ABC15121,42,management,married,tertiary,no,4,yes,no
ABC37849,39,blue-collar,single,primary,no,-100,yes,no
ABC15123,32,blue-collar,married,secondary,no,348,yes,no
ABC37852,35,management,single,tertiary,no,478,yes,no
ABC37859,55,services,single,secondary,no,1126,yes,no
ABC37862,34,blue-collar,single,secondary,no,62,yes,no
ABC37863,34,self-employed,single,unknown,no,687,yes,no
ABC37867,47,blue-collar,single,primary,no,133,yes,no
ABC37868,50,management,single,secondary,no,4527,yes,no
ABC3787,29,blue-collar,single,secondary,no,4574,yes,no
ABC37882,32,management,single,tertiary,no,499,yes,no
ABC37884,40,retired,single,primary,no,-79,no,no
ABC3789,33,blue-collar,single,secondary,no,272,yes,no
ABC37890,46,services,single,secondary,no,-976,yes,yes
ABC37894,56,services,single,secondary,no,3309,yes,no
ABC37899,36,services,single,secondary,no,-267,yes,no
ABC37903,31,management,single,tertiary,no,0,yes,yes
ABC37906,29,services,single,secondary,no,891,yes,no
ABC37909,35,blue-collar,single,primary,no,246,no,no
ABC3791,30,blue-collar,single,secondary,no,677,yes,no
ABC37912,37,services,single,secondary,no,887,no,no
ABC37914,40,management,single,tertiary,no,2258,yes,no
ABC37917,57,blue-collar,single,primary,no,739,yes,no
ABC37918,29,blue-collar,single,secondary,no,1331,yes,yes
ABC37919,40,services,single,secondary,no,573,yes,no
ABC37922,42,services,single,secondary,no,0,yes,no
ABC37924,32,blue-collar,single,primary,no,398,yes,no
ABC37935,31,blue-collar,single,primary,no,864,yes,no
ABC37944,32,blue-collar,single,secondary,yes,-575,yes,no
ABC37945,29,blue-collar,single,secondary,no,769,yes,yes
ABC37948,29,management,single,tertiary,no,-11,yes,no
ABC37949,29,blue-collar,single,secondary,no,70,yes,yes
ABC37952,33,blue-collar,single,primary,no,405,yes,no
ABC37953,36,services,single,secondary,no,886,yes,yes
ABC3796,30,blue-collar,single,unknown,no,194,yes,no
ABC37966,37,services,single,secondary,no,608,no,no
ABC3797,32,blue-collar,single,secondary,no,8,yes,no
ABC37971,33,blue-collar,single,tertiary,no,2412,yes,no
ABC37995,41,blue-collar,single,secondary,no,200,yes,no
ABC37997,39,blue-collar,single,secondary,no,-143,yes,no
ABC38000,35,services,single,secondary,no,-133,yes,no
ABC38015,31,blue-collar,single,secondary,no,1257,yes,no
ABC38016,30,entrepreneur,single,tertiary,no,303,yes,no
ABC38025,41,blue-collar,single,primary,no,3237,no,no
ABC38026,29,blue-collar,single,secondary,no,-13,yes,no
ABC38028,43,services,single,secondary,no,0,yes,no
ABC3803,30,blue-collar,single,secondary,no,75,yes,no
ABC38036,41,services,single,secondary,no,3895,yes,no
ABC38050,47,blue-collar,single,primary,no,355,yes,no
ABC38051,41,unemployed,single,secondary,no,315,yes,no
ABC38055,38,self-employed,single,secondary,no,677,yes,no
ABC38063,33,blue-collar,single,secondary,no,-14,yes,no
ABC38064,32,services,single,secondary,no,45,yes,yes
ABC38065,31,student,single,tertiary,no,2030,yes,no
ABC38066,39,services,single,secondary,no,26,yes,no
ABC15176,33,self-employed,divorced,secondary,no,1904,yes,no
ABC38067,34,blue-collar,single,tertiary,no,97,no,no
ABC3807,32,self-employed,single,tertiary,no,12269,no,no
ABC38076,33,blue-collar,single,secondary,no,1074,yes,yes
ABC15180,51,blue-collar,married,primary,no,201,yes,no
ABC15181,33,services,married,secondary,no,0,yes,no
ABC38080,39,blue-collar,single,secondary,no,522,yes,no
ABC38082,30,services,single,secondary,no,326,yes,no
ABC38084,32,blue-collar,single,primary,no,78,yes,no
ABC3809,29,blue-collar,single,primary,no,105,yes,no
ABC38091,36,services,single,secondary,no,568,yes,no
ABC38097,29,blue-collar,single,secondary,no,555,yes,no
ABC38099,33,blue-collar,single,secondary,no,-242,yes,no
ABC38107,31,services,single,secondary,no,342,yes,no
ABC38108,40,services,single,secondary,no,60,yes,no
ABC3811,37,blue-collar,single,primary,no,117,yes,no
ABC38112,33,blue-collar,single,tertiary,no,109,yes,yes
ABC38119,30,blue-collar,single,secondary,no,148,yes,yes
ABC38121,31,blue-collar,single,secondary,no,591,yes,yes
ABC38126,30,management,single,tertiary,no,872,yes,no
ABC38131,30,blue-collar,single,secondary,yes,28,yes,no
ABC38134,31,management,single,tertiary,no,177,yes,no
ABC15199,29,management,married,tertiary,no,51,yes,no
ABC38135,35,management,single,tertiary,no,3000,yes,no
ABC3814,30,self-employed,single,secondary,no,299,yes,no
ABC38141,45,blue-collar,single,secondary,no,615,yes,no
ABC38145,36,self-employed,single,tertiary,no,577,yes,no
ABC38146,31,entrepreneur,single,secondary,no,0,yes,no
ABC38149,30,services,single,secondary,no,-143,yes,no
ABC38151,40,blue-collar,single,secondary,no,398,yes,no
ABC38161,33,blue-collar,single,primary,no,433,yes,no
ABC38173,33,management,single,tertiary,no,7419,yes,no
ABC38174,33,blue-collar,single,tertiary,no,849,yes,no
ABC1521,37,unemployed,single,secondary,no,381,yes,no
ABC38183,35,blue-collar,single,primary,no,85,no,no
ABC3819,29,blue-collar,single,secondary,no,1166,yes,no
ABC38193,30,services,single,primary,no,79,yes,no
ABC15213,52,self-employed,married,primary,no,3798,yes,no
ABC38197,32,management,single,tertiary,no,-252,yes,no
ABC38198,42,blue-collar,single,primary,no,156,yes,no
ABC38200,34,management,single,tertiary,no,11350,yes,no
ABC38202,31,management,single,tertiary,no,291,yes,no
ABC38205,30,services,single,secondary,no,278,yes,no
ABC38206,30,services,single,secondary,no,-118,no,no
ABC38211,34,management,single,tertiary,no,4782,yes,no
ABC15221,42,blue-collar,divorced,primary,no,301,yes,no
ABC38213,32,management,single,tertiary,no,336,no,no
ABC15223,31,management,divorced,tertiary,no,294,yes,no
ABC38218,32,blue-collar,single,tertiary,no,388,yes,no
ABC38227,38,services,single,unknown,no,0,yes,no
ABC38237,36,blue-collar,single,tertiary,no,391,yes,no
ABC38240,29,management,single,tertiary,no,13,yes,no
ABC38246,31,blue-collar,single,secondary,no,178,yes,no
ABC38247,31,blue-collar,single,tertiary,no,699,yes,no
ABC38251,30,services,single,secondary,yes,-228,yes,no
ABC38254,33,blue-collar,single,secondary,no,1211,yes,no
ABC38256,39,blue-collar,single,unknown,no,10,yes,no
